100.png: Dice=0.9707, IoU=0.9430
106.png: Dice=0.9579, IoU=0.9192
119.png: Dice=0.9577, IoU=0.9189
134.png: Dice=0.9758, IoU=0.9527
14.png: Dice=0.9737, IoU=0.9488
148.png: Dice=0.9790, IoU=0.9588
154.png: Dice=0.5670, IoU=0.3956
163.png: Dice=0.9766, IoU=0.9543
166.png: Dice=0.9693, IoU=0.9405
171.png: Dice=0.9723, IoU=0.9462
179.png: Dice=0.9585, IoU=0.9204
181.png: Dice=0.9591, IoU=0.9213
185.png: Dice=0.9819, IoU=0.9644
191.png: Dice=0.9292, IoU=0.8678
205.png: Dice=0.9006, IoU=0.8192
21.png: Dice=0.9831, IoU=0.9668
240.png: Dice=0.9417, IoU=0.8899
25.png: Dice=0.9523, IoU=0.9089
251.png: Dice=0.9153, IoU=0.8438
266.png: Dice=0.9797, IoU=0.9603
279.png: Dice=0.9513, IoU=0.9071
287.png: Dice=0.9279, IoU=0.8655
300.png: Dice=0.9503, IoU=0.9052
307.png: Dice=0.9041, IoU=0.8250
31.png: Dice=0.9733, IoU=0.9481
349.png: Dice=0.9772, IoU=0.9555
353.png: Dice=0.9531, IoU=0.9104
374.png: Dice=0.9570, IoU=0.9175
381.png: Dice=0.9525, IoU=0.9092
388.png: Dice=0.9611, IoU=0.9251
397.png: Dice=0.9812, IoU=0.9632
400.png: Dice=0.9793, IoU=0.9594
404.png: Dice=0.9676, IoU=0.9373
42.png: Dice=0.9804, IoU=0.9615
425.png: Dice=0.9044, IoU=0.8255
429.png: Dice=0.9524, IoU=0.9091
431.png: Dice=0.9604, IoU=0.9238
442.png: Dice=0.8672, IoU=0.7655
453.png: Dice=0.9561, IoU=0.9158
459.png: Dice=0.9540, IoU=0.9120
464.png: Dice=0.9772, IoU=0.9553
474.png: Dice=0.9711, IoU=0.9438
481.png: Dice=0.9402, IoU=0.8872
483.png: Dice=0.9732, IoU=0.9478
492.png: Dice=0.9755, IoU=0.9521
50.png: Dice=0.9470, IoU=0.8993
52.png: Dice=0.8238, IoU=0.7004
526.png: Dice=0.9691, IoU=0.9400
529.png: Dice=0.9130, IoU=0.8399
545.png: Dice=0.9784, IoU=0.9577
555.png: Dice=0.9543, IoU=0.9126
559.png: Dice=0.1998, IoU=0.1110
561.png: Dice=0.9349, IoU=0.8778
569.png: Dice=0.8975, IoU=0.8140
571.png: Dice=0.9298, IoU=0.8688
575.png: Dice=0.7478, IoU=0.5971
61.png: Dice=0.9458, IoU=0.8972
65.png: Dice=0.9452, IoU=0.8961
66.png: Dice=0.9278, IoU=0.8653
73.png: Dice=0.8297, IoU=0.7090
80.png: Dice=0.8685, IoU=0.7676
89.png: Dice=0.9641, IoU=0.9307
