1.png: Dice=0.8113, IoU=0.6826
10.png: Dice=0.8288, IoU=0.7077
100.png: Dice=0.9431, IoU=0.8923
101.png: Dice=0.9633, IoU=0.9292
102.png: Dice=0.9380, IoU=0.8833
103.png: Dice=0.9437, IoU=0.8935
104.png: Dice=0.9611, IoU=0.9251
105.png: Dice=0.9355, IoU=0.8788
106.png: Dice=0.9654, IoU=0.9332
107.png: Dice=0.8785, IoU=0.7833
108.png: Dice=0.9371, IoU=0.8817
109.png: Dice=0.9661, IoU=0.9345
11.png: Dice=0.8558, IoU=0.7479
110.png: Dice=0.9656, IoU=0.9335
111.png: Dice=0.9655, IoU=0.9334
112.png: Dice=0.8863, IoU=0.7958
113.png: Dice=0.9551, IoU=0.9141
114.png: Dice=0.9570, IoU=0.9175
115.png: Dice=0.8766, IoU=0.7803
116.png: Dice=0.8164, IoU=0.6897
117.png: Dice=0.7917, IoU=0.6552
118.png: Dice=0.9417, IoU=0.8899
119.png: Dice=0.7674, IoU=0.6226
12.png: Dice=0.3725, IoU=0.2289
120.png: Dice=0.9177, IoU=0.8478
121.png: Dice=0.7488, IoU=0.5985
122.png: Dice=0.9295, IoU=0.8683
123.png: Dice=0.9276, IoU=0.8650
124.png: Dice=0.6072, IoU=0.4360
125.png: Dice=0.9667, IoU=0.9356
126.png: Dice=0.9521, IoU=0.9086
127.png: Dice=0.9505, IoU=0.9057
128.png: Dice=0.8932, IoU=0.8069
129.png: Dice=0.9668, IoU=0.9358
13.png: Dice=0.8984, IoU=0.8156
130.png: Dice=0.9704, IoU=0.9425
131.png: Dice=0.9140, IoU=0.8416
132.png: Dice=0.9507, IoU=0.9060
133.png: Dice=0.9376, IoU=0.8826
134.png: Dice=0.9649, IoU=0.9322
135.png: Dice=0.9522, IoU=0.9087
136.png: Dice=0.9622, IoU=0.9272
137.png: Dice=0.9458, IoU=0.8972
138.png: Dice=0.9773, IoU=0.9555
139.png: Dice=0.9303, IoU=0.8697
14.png: Dice=0.9623, IoU=0.9273
140.png: Dice=0.9525, IoU=0.9093
141.png: Dice=0.9260, IoU=0.8622
142.png: Dice=0.9679, IoU=0.9378
143.png: Dice=0.9416, IoU=0.8896
144.png: Dice=0.9496, IoU=0.9040
145.png: Dice=0.9629, IoU=0.9284
146.png: Dice=0.9488, IoU=0.9027
147.png: Dice=0.9514, IoU=0.9073
148.png: Dice=0.9559, IoU=0.9156
149.png: Dice=0.9502, IoU=0.9051
15.png: Dice=0.9171, IoU=0.8470
150.png: Dice=0.9421, IoU=0.8905
151.png: Dice=0.9358, IoU=0.8794
152.png: Dice=0.7926, IoU=0.6565
153.png: Dice=0.6950, IoU=0.5325
154.png: Dice=0.5554, IoU=0.3845
155.png: Dice=0.8596, IoU=0.7538
156.png: Dice=0.8748, IoU=0.7775
157.png: Dice=0.9578, IoU=0.9191
