1.png: Dice=0.8960, IoU=0.8116
10.png: Dice=0.2807, IoU=0.1633
100.png: Dice=0.5435, IoU=0.3731
101.png: Dice=0.4810, IoU=0.3166
102.png: Dice=0.7356, IoU=0.5818
103.png: Dice=0.7008, IoU=0.5394
104.png: Dice=0.0000, IoU=0.0000
105.png: Dice=0.8536, IoU=0.7445
106.png: Dice=0.8539, IoU=0.7450
107.png: Dice=0.8607, IoU=0.7555
108.png: Dice=0.7470, IoU=0.5962
109.png: Dice=0.8286, IoU=0.7074
11.png: Dice=0.8450, IoU=0.7316
110.png: Dice=0.7996, IoU=0.6662
111.png: Dice=0.7696, IoU=0.6256
112.png: Dice=0.7768, IoU=0.6351
113.png: Dice=0.9662, IoU=0.9345
114.png: Dice=0.9734, IoU=0.9481
115.png: Dice=0.9704, IoU=0.9425
116.png: Dice=0.9718, IoU=0.9451
117.png: Dice=0.9729, IoU=0.9471
118.png: Dice=0.9705, IoU=0.9427
119.png: Dice=0.9615, IoU=0.9258
12.png: Dice=0.2654, IoU=0.1530
120.png: Dice=0.9451, IoU=0.8959
121.png: Dice=0.7033, IoU=0.5423
122.png: Dice=0.9036, IoU=0.8241
123.png: Dice=0.8330, IoU=0.7138
124.png: Dice=0.9724, IoU=0.9463
125.png: Dice=0.9729, IoU=0.9472
126.png: Dice=0.7258, IoU=0.5696
127.png: Dice=0.9073, IoU=0.8303
128.png: Dice=0.8487, IoU=0.7372
129.png: Dice=0.8637, IoU=0.7601
13.png: Dice=0.7519, IoU=0.6025
130.png: Dice=0.8536, IoU=0.7446
131.png: Dice=0.8865, IoU=0.7961
132.png: Dice=0.8465, IoU=0.7339
133.png: Dice=0.9399, IoU=0.8867
134.png: Dice=0.8899, IoU=0.8016
135.png: Dice=0.7657, IoU=0.6203
136.png: Dice=0.9359, IoU=0.8796
137.png: Dice=0.8942, IoU=0.8086
138.png: Dice=0.8446, IoU=0.7311
139.png: Dice=0.9444, IoU=0.8947
14.png: Dice=0.9081, IoU=0.8317
140.png: Dice=0.9338, IoU=0.8758
141.png: Dice=0.8089, IoU=0.6791
142.png: Dice=0.9141, IoU=0.8417
143.png: Dice=0.9576, IoU=0.9186
144.png: Dice=0.9302, IoU=0.8695
145.png: Dice=0.9648, IoU=0.9319
146.png: Dice=0.8496, IoU=0.7385
147.png: Dice=0.9021, IoU=0.8217
148.png: Dice=0.9466, IoU=0.8987
149.png: Dice=0.7693, IoU=0.6251
15.png: Dice=0.8663, IoU=0.7641
150.png: Dice=0.9354, IoU=0.8786
151.png: Dice=0.8980, IoU=0.8149
152.png: Dice=0.8225, IoU=0.6986
153.png: Dice=0.9096, IoU=0.8343
154.png: Dice=0.4280, IoU=0.2723
