1.png: Dice=0.8959, IoU=0.8114
10.png: Dice=0.5934, IoU=0.4219
100.png: Dice=0.7938, IoU=0.6581
101.png: Dice=0.8319, IoU=0.7121
102.png: Dice=0.6281, IoU=0.4578
103.png: Dice=0.7548, IoU=0.6062
104.png: Dice=0.8623, IoU=0.7579
105.png: Dice=0.9597, IoU=0.9224
106.png: Dice=0.9396, IoU=0.8860
107.png: Dice=0.9720, IoU=0.9455
108.png: Dice=0.7989, IoU=0.6651
109.png: Dice=0.9556, IoU=0.9151
11.png: Dice=0.0961, IoU=0.0505
110.png: Dice=0.7867, IoU=0.6484
111.png: Dice=0.7596, IoU=0.6124
112.png: Dice=0.9261, IoU=0.8624
113.png: Dice=0.8819, IoU=0.7887
114.png: Dice=0.9739, IoU=0.9492
115.png: Dice=0.8869, IoU=0.7967
116.png: Dice=0.9753, IoU=0.9517
117.png: Dice=0.8662, IoU=0.7639
118.png: Dice=0.8470, IoU=0.7346
119.png: Dice=0.9694, IoU=0.9406
12.png: Dice=0.3895, IoU=0.2419
120.png: Dice=0.9759, IoU=0.9529
121.png: Dice=0.7778, IoU=0.6364
122.png: Dice=0.9060, IoU=0.8281
123.png: Dice=0.8341, IoU=0.7154
124.png: Dice=0.9730, IoU=0.9475
125.png: Dice=0.9746, IoU=0.9505
126.png: Dice=0.7348, IoU=0.5808
127.png: Dice=0.9329, IoU=0.8742
128.png: Dice=0.8852, IoU=0.7940
129.png: Dice=0.8857, IoU=0.7948
13.png: Dice=0.7008, IoU=0.5394
130.png: Dice=0.8525, IoU=0.7430
131.png: Dice=0.9151, IoU=0.8435
132.png: Dice=0.8897, IoU=0.8013
133.png: Dice=0.9401, IoU=0.8871
134.png: Dice=0.8669, IoU=0.7650
135.png: Dice=0.7788, IoU=0.6377
136.png: Dice=0.9563, IoU=0.9163
137.png: Dice=0.9444, IoU=0.8947
138.png: Dice=0.8732, IoU=0.7749
139.png: Dice=0.9574, IoU=0.9183
14.png: Dice=0.7356, IoU=0.5818
140.png: Dice=0.9573, IoU=0.9181
141.png: Dice=0.8696, IoU=0.7693
142.png: Dice=0.9335, IoU=0.8752
143.png: Dice=0.9560, IoU=0.9157
144.png: Dice=0.9420, IoU=0.8903
145.png: Dice=0.9674, IoU=0.9369
146.png: Dice=0.8924, IoU=0.8057
147.png: Dice=0.8798, IoU=0.7854
148.png: Dice=0.9106, IoU=0.8359
149.png: Dice=0.8487, IoU=0.7372
15.png: Dice=0.8499, IoU=0.7389
150.png: Dice=0.9287, IoU=0.8669
151.png: Dice=0.9103, IoU=0.8353
152.png: Dice=0.8854, IoU=0.7943
153.png: Dice=0.9224, IoU=0.8560
154.png: Dice=0.4643, IoU=0.3023
155.png: Dice=0.9042, IoU=0.8252
156.png: Dice=0.4995, IoU=0.3329
157.png: Dice=0.0845, IoU=0.0441
158.png: Dice=0.8725, IoU=0.7739
159.png: Dice=0.7933, IoU=0.6574
16.png: Dice=0.7486, IoU=0.5981
160.png: Dice=0.6647, IoU=0.4978
161.png: Dice=0.4551, IoU=0.2946
162.png: Dice=0.7698, IoU=0.6257
163.png: Dice=0.6952, IoU=0.5328
164.png: Dice=0.5430, IoU=0.3727
165.png: Dice=0.8970, IoU=0.8132
166.png: Dice=0.9259, IoU=0.8620
167.png: Dice=0.9346, IoU=0.8773
168.png: Dice=0.8976, IoU=0.8142
169.png: Dice=0.9083, IoU=0.8320
17.png: Dice=0.8820, IoU=0.7888
170.png: Dice=0.8127, IoU=0.6845
171.png: Dice=0.9367, IoU=0.8809
172.png: Dice=0.9240, IoU=0.8588
173.png: Dice=0.9302, IoU=0.8695
174.png: Dice=0.8975, IoU=0.8141
175.png: Dice=0.9005, IoU=0.8190
176.png: Dice=0.9161, IoU=0.8452
177.png: Dice=0.9771, IoU=0.9553
178.png: Dice=0.9474, IoU=0.9000
179.png: Dice=0.9604, IoU=0.9237
18.png: Dice=0.9246, IoU=0.8598
180.png: Dice=0.9503, IoU=0.9053
181.png: Dice=0.8031, IoU=0.6710
182.png: Dice=0.9643, IoU=0.9310
183.png: Dice=0.8929, IoU=0.8065
184.png: Dice=0.9127, IoU=0.8395
185.png: Dice=0.8613, IoU=0.7564
186.png: Dice=0.8784, IoU=0.7831
187.png: Dice=0.9134, IoU=0.8406
188.png: Dice=0.8928, IoU=0.8064
189.png: Dice=0.9562, IoU=0.9161
19.png: Dice=0.1475, IoU=0.0796
190.png: Dice=0.9507, IoU=0.9061
191.png: Dice=0.0000, IoU=0.0000
192.png: Dice=0.0000, IoU=0.0000
193.png: Dice=0.0000, IoU=0.0000
194.png: Dice=0.0000, IoU=0.0000
195.png: Dice=0.0000, IoU=0.0000
196.png: Dice=0.0000, IoU=0.0000
2.png: Dice=0.8943, IoU=0.8087
20.png: Dice=0.7756, IoU=0.6334
21.png: Dice=0.9119, IoU=0.8381
22.png: Dice=0.8027, IoU=0.6704
23.png: Dice=0.0000, IoU=0.0000
24.png: Dice=0.2208, IoU=0.1241
25.png: Dice=0.7984, IoU=0.6644
26.png: Dice=0.8936, IoU=0.8077
27.png: Dice=0.9135, IoU=0.8408
28.png: Dice=0.6852, IoU=0.5211
29.png: Dice=0.8580, IoU=0.7513
3.png: Dice=0.8719, IoU=0.7729
30.png: Dice=0.8799, IoU=0.7855
31.png: Dice=0.5794, IoU=0.4079
32.png: Dice=0.8309, IoU=0.7107
33.png: Dice=0.8388, IoU=0.7224
34.png: Dice=0.8582, IoU=0.7517
35.png: Dice=0.8013, IoU=0.6684
36.png: Dice=0.0003, IoU=0.0001
37.png: Dice=0.9045, IoU=0.8256
38.png: Dice=0.9031, IoU=0.8232
39.png: Dice=0.8726, IoU=0.7740
4.png: Dice=0.8745, IoU=0.7770
40.png: Dice=0.9063, IoU=0.8287
41.png: Dice=0.9504, IoU=0.9055
42.png: Dice=0.9260, IoU=0.8622
43.png: Dice=0.8234, IoU=0.6998
44.png: Dice=0.9106, IoU=0.8359
45.png: Dice=0.5753, IoU=0.4038
46.png: Dice=0.7351, IoU=0.5811
47.png: Dice=0.5566, IoU=0.3856
48.png: Dice=0.8583, IoU=0.7518
49.png: Dice=0.9415, IoU=0.8894
5.png: Dice=0.9082, IoU=0.8318
50.png: Dice=0.9601, IoU=0.9233
51.png: Dice=0.9375, IoU=0.8824
52.png: Dice=0.9622, IoU=0.9271
53.png: Dice=0.1306, IoU=0.0699
54.png: Dice=0.9510, IoU=0.9066
55.png: Dice=0.9583, IoU=0.9199
56.png: Dice=0.9577, IoU=0.9188
57.png: Dice=0.9413, IoU=0.8891
58.png: Dice=0.8039, IoU=0.6721
59.png: Dice=0.9470, IoU=0.8993
6.png: Dice=0.8805, IoU=0.7865
60.png: Dice=0.0028, IoU=0.0014
61.png: Dice=0.8342, IoU=0.7156
62.png: Dice=0.9573, IoU=0.9181
63.png: Dice=0.9759, IoU=0.9530
64.png: Dice=0.9887, IoU=0.9777
65.png: Dice=0.9786, IoU=0.9581
66.png: Dice=0.9881, IoU=0.9764
67.png: Dice=0.9750, IoU=0.9513
68.png: Dice=0.9388, IoU=0.8846
69.png: Dice=0.6479, IoU=0.4792
7.png: Dice=0.7655, IoU=0.6200
70.png: Dice=0.0000, IoU=0.0000
71.png: Dice=0.7343, IoU=0.5802
72.png: Dice=0.6859, IoU=0.5219
73.png: Dice=0.7626, IoU=0.6163
74.png: Dice=0.8422, IoU=0.7274
75.png: Dice=0.8679, IoU=0.7666
76.png: Dice=0.7747, IoU=0.6322
77.png: Dice=0.8270, IoU=0.7050
78.png: Dice=0.0000, IoU=0.0000
79.png: Dice=0.0068, IoU=0.0034
8.png: Dice=0.6011, IoU=0.4296
80.png: Dice=0.8918, IoU=0.8048
81.png: Dice=0.9797, IoU=0.9602
82.png: Dice=0.9459, IoU=0.8974
83.png: Dice=0.9741, IoU=0.9494
84.png: Dice=0.9796, IoU=0.9600
85.png: Dice=0.9795, IoU=0.9599
86.png: Dice=0.9668, IoU=0.9358
87.png: Dice=0.8035, IoU=0.6716
88.png: Dice=0.8679, IoU=0.7667
89.png: Dice=0.6598, IoU=0.4923
9.png: Dice=0.7835, IoU=0.6441
90.png: Dice=0.6461, IoU=0.4772
91.png: Dice=0.9265, IoU=0.8631
92.png: Dice=0.6111, IoU=0.4400
93.png: Dice=0.8827, IoU=0.7901
94.png: Dice=0.9009, IoU=0.8196
95.png: Dice=0.8335, IoU=0.7145
96.png: Dice=0.8872, IoU=0.7973
97.png: Dice=0.8163, IoU=0.6896
98.png: Dice=0.8477, IoU=0.7357
99.png: Dice=0.5686, IoU=0.3972
